num      energy        midtime       peakrate            +/-          I*eff          IsoBrconvergence    parent     activROI_Chisq/dofTot_Chisq/dof                                     filename
1        46.539              0      0.0510893     0.00714849              0              0    3               pb210   1.06746   1.00283                                             
2       53.2284              0       0.019074     0.00714164              0              0    3               pb214   1.06746   1.00283                                             
3       186.211              0       0.706329      0.0127411     0.00419692              0    3               ra226  0.848562   1.00283                                             
4       241.995              0        1.27919      0.0138773              0              0    3               pb214   0.62638   1.00283                                             
5        258.86              0      0.0629625     0.00696972              0              0    3               pb214    1.1362   1.00283                                             
6         274.8              0       0.054879     0.00669224              0              0    3               pb214  0.939692   1.00283                                             
7       277.371              0     -0.0168812     0.00618168              0              0    3               tl208  0.939692   1.00283                                             
8       295.223              0        3.00727      0.0194864     0.00972576              0    3               pb214   1.02656   1.00283                                             
9       351.932              0        5.26931      0.0235533      0.0168744              0    3               pb214  0.999736   1.00283                                             
10       386.78              0       0.037671       0.005416              0              0    3               bi214  0.858601   1.00283                                             
11       388.89              0      0.0584405     0.00544738              0              0    3               bi214  0.858601   1.00283                                             
12       454.79              0      0.0344428     0.00409867              0              0    3               bi214  0.917072   1.00283                                             
13       462.02              0      0.0232591     0.00390762              0              0    3               pb214  0.917072   1.00283                                             
14      480.432              0      0.0409609     0.00397646              0              0    3               pb214   0.71162   1.00283                                             
15       487.14              0      0.0658434     0.00424865              0              0    3               pb214   0.71162   1.00283                                             
16       580.14              0      0.0429407     0.00370663              0              0    3               pb214   1.18182   1.00283                                             
17      583.187              0     0.00245875     0.00306084       0.023715              0    3               tl208   1.18182   1.00283                                             
18       609.32              0        4.92585      0.0221146      0.0122823              0    3               bi214   0.79076   1.00283                                             
19      661.657              0     0.00414054     0.00238566              0              0    3               cs137  0.644876   1.00283                                             
20      665.447              0       0.152229     0.00448946              0              0    3               bi214  0.644876   1.00283                                             
21       703.11              0      0.0392688     0.00354129              0              0    3               bi214   1.04539   1.00283                                             
22       719.87              0      0.0393951     0.00300444              0              0    3               bi214  0.870825   1.00283                                             
23       763.13              0     0.00120507     0.00211762              0              0    3               tl208  0.915158   1.00283                                             
24       768.36              0       0.473305     0.00719216              0              0    3               bi214  0.915158   1.00283                                             
25       785.96              0       0.142608     0.00945401              0              0    3               pb214   1.03174   1.00283                                             
26       786.35              0    -0.00846978     0.00931398              0              0    3               bi214   1.03174   1.00283                                             
27       806.18              0       0.164129     0.00465239              0              0    3               bi214  0.985109   1.00283                                             
28       839.07              0      0.0561834     0.00377198              0              0    3               pb214  0.970449   1.00283                                             
29      860.557              0     0.00180275     0.00222725      0.0034125              0    3               tl208      1.01   1.00283                                             
30      934.056              0       0.269321     0.00554059              0              0    3               bi214   0.79529   1.00283                                             
31       964.08              0      0.0325092     0.00294417              0              0    3               bi214   1.22309   1.00283                                             
32      1051.96              0      0.0250903     0.00244925              0              0    3               bi214  0.922112   1.00283                                             
33      1069.96              0      0.0245088     0.00250404              0              0    3               bi214  0.587307   1.00283                                             
34      1120.29              0        1.15944      0.0107373     0.00316304              0    3               bi214    0.9377   1.00283                                             
35      1133.66              0       0.022717     0.00238251              0              0    3               bi214  0.662702   1.00283                                             
36      1155.21              0       0.136305     0.00416738              0              0    3               bi214  0.996926   1.00283                                             
37      1173.23              0     0.00468798     0.00187437              0              0    3                co60  0.728084   1.00283                                             
38      1207.68              0      0.0306814     0.00236333              0              0    3               bi214  0.938466   1.00283                                             
39      1238.12              0       0.434539     0.00669386              0              0    3               bi214   1.03421   1.00283                                             
40      1280.98              0       0.104535     0.00366581              0              0    3               bi214  0.815387   1.00283                                             
41      1332.49              0    -0.00508668     0.00183842              0              0    3                co60  0.891477   1.00283                                             
42      1377.67              0       0.280386     0.00562387              0              0    3               bi214   1.19381   1.00283                                             
43      1385.31              0      0.0508761     0.00283174              0              0    3               bi214   1.19381   1.00283                                             
44      1401.52              0       0.093198     0.00351439              0              0    3               bi214  0.923644   1.00283                                             
45      1407.99              0       0.164066     0.00460824              0              0    3               bi214  0.923644   1.00283                                             
46      1460.82              0    0.000333792     0.00190289     0.00241982              0    3                 k40   1.39998   1.00283                                             
47      1509.21              0       0.139038     0.00456107              0              0    3               bi214   1.30273   1.00283                                             
48      1538.53              0      0.0301473     0.00296708              0              0    3               bi214   1.12403   1.00283                                             
49      1543.34              0      0.0204273     0.00252225              0              0    3               bi214   1.12403   1.00283                                             
50       1583.2              0      0.0436276     0.00263658              0              0    3               bi214  0.736161   1.00283                                             
51      1594.75              0      0.0143594     0.00216277              0              0    3               bi214   1.12879   1.00283                                             
52      1599.37              0     0.00793784      0.0017431              0              0    3               bi214   1.12879   1.00283                                             
53      1661.27              0      0.0567181     0.00261723              0              0    3               bi214    0.9349   1.00283                                             
54      1684.01              0      0.0134005     0.00149732              0              0    3               bi214  0.923487   1.00283                                             
55       1729.6              0       0.183054     0.00420343              0              0    3               bi214  0.811291   1.00283                                             
56      1764.49              0       0.940863     0.00965877      0.0031671              0    3               bi214  0.789843   1.00283                                             
57      1838.36              0      0.0190163     0.00196444              0              0    3               bi214   1.08972   1.00283                                             
58      1847.43              0       0.118151     0.00386521              0              0    3               bi214   1.08972   1.00283                                             
59      1873.16              0      0.0133697     0.00142108              0              0    3               bi214  0.537701   1.00283                                             
