am241  am241  59.5409 2.979579e-01 7.707526e-03 7.536393e-03 6.203739e-03 6.144267e-03 1.504844e-02 1.495656e-02
pb210  pb210  46.5390 1.242823e-01 1.954788e-02 1.894563e-02 1.934164e-02 1.881305e-02 2.010715e-02 2.003724e-02
ra226  ra226  186.2110 8.362579e-01 3.399563e-02 3.326243e-02 3.145283e-02 3.084037e-02 1.502847e-02 1.493719e-02
ra226  pb214  241.9950 7.973536e-01 2.100270e-02 2.074489e-02 1.722229e-02 1.709292e-02 1.502847e-02 1.493719e-02
ra226  pb214  258.8600 6.373663e-01 1.483535e-01 1.415288e-01 1.478919e-01 1.416790e-01 1.502847e-02 1.493719e-02
ra226  pb214  274.8000 1.118811e+00 2.065695e-01 1.906031e-01 2.052326e-01 1.905545e-01 1.502847e-02 1.493719e-02
ra226  pb214  295.2228 8.463226e-01 1.613146e-02 1.583973e-02 9.760171e-03 9.701598e-03 1.502847e-02 1.493719e-02
ra226  pb214  351.9321 8.473181e-01 1.464441e-02 1.434508e-02 7.011194e-03 6.988115e-03 1.502847e-02 1.493719e-02
ra226  pb214  462.0200 8.983781e-01 2.559288e-01 2.352320e-01 2.549563e-01 2.336051e-01 1.502847e-02 1.493719e-02
ra226  pb214  480.4320 9.826571e-01 2.129111e-01 1.975669e-01 2.125171e-01 1.974693e-01 1.502847e-02 1.493719e-02
ra226  pb214  487.1400 1.024274e+00 1.384089e-01 1.313649e-01 1.370833e-01 1.305158e-01 1.502847e-02 1.493719e-02
ra226  pb214  580.1400 9.350598e-01 1.629102e-01 1.549043e-01 1.624931e-01 1.541970e-01 1.502847e-02 1.493719e-02
ra226  pb214  839.0700 8.664317e-01 1.110008e-01 1.072881e-01 1.101408e-01 1.064211e-01 1.502847e-02 1.493719e-02
ra226  bi214  386.7800 5.903703e-01 2.060769e-01 1.915621e-01 2.059735e-01 1.917266e-01 1.502847e-02 1.493719e-02
ra226  bi214  454.7900 7.164592e-01 1.853890e-01 1.767979e-01 1.852667e-01 1.776380e-01 1.502847e-02 1.493719e-02
ra226  bi214  609.3200 8.324290e-01 1.454483e-02 1.432927e-02 7.250190e-03 7.212412e-03 1.502847e-02 1.493719e-02
ra226  bi214  665.4470 8.583123e-01 5.091838e-02 4.978444e-02 4.918374e-02 4.828530e-02 1.502847e-02 1.493719e-02
ra226  bi214  703.1100 9.355098e-01 1.284756e-01 1.232235e-01 1.276549e-01 1.220927e-01 1.502847e-02 1.493719e-02
ra226  bi214  719.8700 7.657246e-01 1.400656e-01 1.329757e-01 1.394344e-01 1.329054e-01 1.502847e-02 1.493719e-02
ra226  bi214  768.3600 8.557879e-01 2.755860e-02 2.713810e-02 2.437248e-02 2.397461e-02 1.502847e-02 1.493719e-02
ra226  bi214  934.0560 8.453628e-01 3.427963e-02 3.379173e-02 3.176879e-02 3.140849e-02 1.502847e-02 1.493719e-02
ra226  bi214  964.0800 9.822803e-01 1.791198e-01 1.680080e-01 1.782371e-01 1.679219e-01 1.502847e-02 1.493719e-02
ra226  bi214  1051.9600 9.799816e-01 1.866084e-01 1.732062e-01 1.858472e-01 1.726755e-01 1.502847e-02 1.493719e-02
ra226  bi214  1069.9600 5.889830e-01 1.412964e-01 1.330535e-01 1.407216e-01 1.328165e-01 1.502847e-02 1.493719e-02
ra226  bi214  1120.2940 8.706671e-01 1.959979e-02 1.936171e-02 1.446686e-02 1.440572e-02 1.502847e-02 1.493719e-02
ra226  bi214  1133.6600 8.933808e-01 2.007250e-01 1.854784e-01 2.005443e-01 1.851889e-01 1.502847e-02 1.493719e-02
ra226  bi214  1155.2100 8.116995e-01 5.193318e-02 5.052259e-02 5.025796e-02 4.929076e-02 1.502847e-02 1.493719e-02
ra226  bi214  1207.6800 7.170945e-01 1.180685e-01 1.129323e-01 1.175577e-01 1.121702e-01 1.502847e-02 1.493719e-02
ra226  bi214  1238.1220 8.424793e-01 2.651525e-02 2.596146e-02 2.301620e-02 2.285686e-02 1.502847e-02 1.493719e-02
ra226  bi214  1280.9760 7.633356e-01 5.608231e-02 5.466393e-02 5.466452e-02 5.369958e-02 1.502847e-02 1.493719e-02
ra226  bi214  1377.6690 8.403855e-01 3.285585e-02 3.218392e-02 3.027380e-02 2.985339e-02 1.502847e-02 1.493719e-02
ra226  bi214  1385.3100 8.227160e-01 8.947791e-02 8.674519e-02 8.831183e-02 8.614086e-02 1.502847e-02 1.493719e-02
ra226  bi214  1401.5150 8.836896e-01 6.312651e-02 6.132110e-02 6.152011e-02 6.010275e-02 1.502847e-02 1.493719e-02
ra226  bi214  1407.9880 8.139404e-01 4.254597e-02 4.180975e-02 4.081052e-02 4.009483e-02 1.502847e-02 1.493719e-02
ra226  bi214  1509.2100 9.466213e-01 5.581760e-02 5.476382e-02 5.397158e-02 5.276592e-02 1.502847e-02 1.493719e-02
ra226  bi214  1538.5300 8.359251e-01 1.539125e-01 1.466966e-01 1.538072e-01 1.458729e-01 1.502847e-02 1.493719e-02
ra226  bi214  1543.3400 9.623965e-01 1.675255e-01 1.572840e-01 1.669106e-01 1.576740e-01 1.502847e-02 1.493719e-02
ra226  bi214  1583.2040 7.749026e-01 9.748271e-02 9.408534e-02 9.636805e-02 9.359326e-02 1.502847e-02 1.493719e-02
ra226  bi214  1594.7500 7.304812e-01 2.524808e-01 2.293351e-01 2.522328e-01 2.294852e-01 1.502847e-02 1.493719e-02
ra226  bi214  1661.2740 7.789553e-01 6.506673e-02 6.332461e-02 6.398949e-02 6.245019e-02 1.502847e-02 1.493719e-02
ra226  bi214  1684.0120 9.528272e-01 2.495632e-01 2.278285e-01 2.491102e-01 2.290974e-01 1.502847e-02 1.493719e-02
ra226  bi214  1729.5950 7.708297e-01 3.612564e-02 3.547934e-02 3.421351e-02 3.354449e-02 1.502847e-02 1.493719e-02
ra226  bi214  1764.4910 8.395767e-01 2.020030e-02 1.987905e-02 1.574728e-02 1.560108e-02 1.502847e-02 1.493719e-02
ra226  bi214  1838.3600 6.820757e-01 1.356119e-01 1.284915e-01 1.353543e-01 1.286226e-01 1.502847e-02 1.493719e-02
ra226  bi214  1847.4290 9.403713e-01 5.523019e-02 5.402058e-02 5.324706e-02 5.219185e-02 1.502847e-02 1.493719e-02
ra226  bi214  1873.1600 5.733111e-01 1.387392e-01 1.300333e-01 1.385908e-01 1.293279e-01 1.502847e-02 1.493719e-02
ra226  bi214  2118.5140 7.187028e-01 5.541200e-02 5.397836e-02 5.446852e-02 5.316822e-02 1.502847e-02 1.493719e-02
ra226  bi214  2204.0590 8.357029e-01 3.298244e-02 3.246671e-02 3.041474e-02 3.006498e-02 1.502847e-02 1.493719e-02
ra226  bi214  2293.3800 8.011810e-01 1.320314e-01 1.259109e-01 1.318932e-01 1.259170e-01 1.502847e-02 1.493719e-02
ra226  bi214  2447.7000 7.913568e-01 5.395901e-02 5.300786e-02 5.253231e-02 5.166626e-02 1.502847e-02 1.493719e-02
