am241  am241  59.5409 9.105391e-04 8.364001e-06 8.364001e-06 3.845049e+04 5.767573e+02 5.777947e+02 5.757606e+02 3.590000e-01 4.000000e-03 1.256883e+01 1.154544e-01
pb210  pb210  46.5390 4.535618e-04 1.076147e-05 1.076147e-05 1.827581e+05 3.655163e+03 -3.662045e+03 -3.676704e+03 4.250000e-02 4.000000e-04 3.522914e+00 8.358673e-02
ra226  ra226  186.2110 5.559344e-03 6.351591e-05 6.351591e-05 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 3.640000e-02 4.000000e-04 5.995410e+00 6.849799e-02
ra226  pb214  241.9950 5.546557e-03 3.396532e-05 3.396532e-05 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 7.251000e-02 1.600000e-04 1.191558e+01 7.296717e-02
ra226  pb214  258.8600 5.815926e-03 2.438827e-04 2.438827e-04 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 5.310000e-03 4.000000e-05 9.149709e-01 3.836803e-02
ra226  pb214  274.8000 7.396699e-03 3.233621e-04 3.233621e-04 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 3.550000e-03 1.000000e-04 7.779653e-01 3.401037e-02
ra226  pb214  295.2228 5.165344e-03 1.800281e-05 1.800281e-05 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 1.842000e-01 4.000000e-04 2.818920e+01 9.824802e-02
ra226  pb214  351.9321 4.812554e-03 1.253697e-05 1.253697e-05 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 3.560000e-01 7.000000e-04 5.075975e+01 1.322320e-01
ra226  pb214  462.0200 3.088825e-03 3.710465e-04 3.710465e-04 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 2.120000e-03 5.000000e-05 1.940096e-01 2.330548e-02
ra226  pb214  480.4320 4.043754e-03 1.595006e-04 1.595006e-04 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 3.370000e-03 4.000000e-05 4.037463e-01 1.592524e-02
ra226  pb214  487.1400 4.113067e-03 1.430691e-04 1.430691e-04 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 4.320000e-03 5.000000e-05 5.264334e-01 1.831149e-02
ra226  pb214  580.1400 3.770940e-03 1.086854e-04 1.086854e-04 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 3.700000e-03 4.000000e-05 4.133760e-01 1.191426e-02
ra226  pb214  785.9600 3.055864e-03 3.515175e-04 3.515175e-04 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 1.060000e-02 3.000000e-04 9.596961e-01 1.103943e-01
ra226  pb214  839.0700 2.946878e-03 1.318713e-04 1.318713e-04 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 5.830000e-03 8.000000e-05 5.090080e-01 2.277785e-02
ra226  bi214  386.7800 4.983744e-03 3.396369e-04 3.396369e-04 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 2.950000e-03 5.000000e-05 4.355837e-01 2.968457e-02
ra226  bi214  388.8900 4.598255e-03 2.023273e-04 2.023273e-04 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 4.020000e-03 1.000000e-04 5.476625e-01 2.409764e-02
ra226  bi214  454.7900 3.181742e-03 3.075831e-04 3.075831e-04 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 2.920000e-03 4.000000e-05 2.752591e-01 2.660966e-02
ra226  bi214  609.3200 3.516376e-03 1.009680e-05 1.009680e-05 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 4.549000e-01 1.600000e-03 4.739202e+01 1.360797e-01
ra226  bi214  665.4470 3.415578e-03 3.930208e-05 3.930208e-05 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 1.531000e-02 6.000000e-05 1.549292e+00 1.782726e-02
ra226  bi214  703.1100 3.300562e-03 8.946611e-05 8.946611e-05 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 4.720000e-03 9.000000e-05 4.615554e-01 1.251107e-02
ra226  bi214  719.8700 3.058450e-03 9.385783e-05 9.385783e-05 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 3.920000e-03 8.000000e-05 3.552069e-01 1.090060e-02
ra226  bi214  768.3600 3.139759e-03 3.273057e-05 3.273057e-05 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 4.894000e-02 1.100000e-04 4.552544e+00 4.745822e-02
ra226  bi214  806.1800 2.941832e-03 4.679075e-05 4.679075e-05 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 1.264000e-02 5.000000e-05 1.101689e+00 1.752270e-02
ra226  bi214  934.0560 2.829258e-03 3.995369e-05 3.995369e-05 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 3.107000e-02 1.000000e-04 2.604400e+00 3.677834e-02
ra226  bi214  964.0800 2.624705e-03 2.136142e-04 2.136142e-04 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 3.650000e-03 1.000000e-04 2.838359e-01 2.310026e-02
ra226  bi214  1051.9600 2.685205e-03 1.126991e-04 1.126991e-04 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 3.130000e-03 7.000000e-05 2.490094e-01 1.045102e-02
ra226  bi214  1069.9600 2.431521e-03 1.575592e-04 1.575592e-04 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 2.720000e-03 9.000000e-05 1.959480e-01 1.269716e-02
ra226  bi214  1120.2940 2.574944e-03 1.227953e-05 1.227953e-05 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 1.492000e-01 3.000000e-04 1.138231e+01 5.428059e-02
