num      energy        midtime       peakrate            +/-          I*eff          IsoBrconvergence    parent     activROI_Chisq/dofTot_Chisq/dof                                     filename
1        46.539              0      0.0350385     0.00660217              0              0    3               pb210   0.80808  0.975666                                             
2       53.2284              0      0.0160954     0.00612948              0              0    3               pb214   0.80808  0.975666                                             
3       186.211              0       0.659023      0.0128691     0.00419692              0    3               ra226  0.873257  0.975666                                             
4       241.995              0        1.27203      0.0140899              0              0    3               pb214   1.23379  0.975666                                             
5        258.86              0      0.0766774     0.00722588              0              0    3               pb214  0.772944  0.975666                                             
6         274.8              0      0.0609173     0.00667371              0              0    3               pb214   0.79215  0.975666                                             
7       277.371              0     0.00110247     0.00620964              0              0    3               tl208   0.79215  0.975666                                             
8       295.223              0        2.91234      0.0177201     0.00972576              0    3               pb214   1.06225  0.975666                                             
9       351.932              0        5.09863      0.0228008      0.0168744              0    3               pb214  0.919754  0.975666                                             
10       386.78              0      0.0375012      0.0055107              0              0    3               bi214  0.848378  0.975666                                             
11       388.89              0      0.0435305     0.00513803              0              0    3               bi214  0.848378  0.975666                                             
12       454.79              0      0.0394244     0.00416564              0              0    3               bi214   1.00687  0.975666                                             
13       462.02              0      0.0277614     0.00396772              0              0    3               pb214   1.00687  0.975666                                             
14      480.432              0      0.0335469     0.00397786              0              0    3               pb214   1.05081  0.975666                                             
15       487.14              0      0.0539877     0.00412053              0              0    3               pb214   1.05081  0.975666                                             
16       580.14              0      0.0395067     0.00359666              0              0    3               pb214   1.05801  0.975666                                             
17      583.187              0     0.00113632     0.00280283       0.023715              0    3               tl208   1.05801  0.975666                                             
18       609.32              0        4.86142      0.0214807      0.0122823              0    3               bi214  0.939414  0.975666                                             
19      661.657              0     0.00640445     0.00279145              0              0    3               cs137  0.875304  0.975666                                             
20      665.447              0       0.143073     0.00437193              0              0    3               bi214  0.875304  0.975666                                             
21       703.11              0      0.0461529     0.00330548              0              0    3               bi214   1.07065  0.975666                                             
22       719.87              0      0.0345902     0.00299536              0              0    3               bi214  0.561822  0.975666                                             
23       763.13              0    -0.00153748     0.00227733              0              0    3               tl208  0.933829  0.975666                                             
24       768.36              0       0.453971     0.00710082              0              0    3               bi214  0.933829  0.975666                                             
25       785.96              0       0.146382     0.00749876              0              0    3               pb214   1.42062  0.975666                                             
26       786.35              0     -0.0202237     0.00739726              0              0    3               bi214   1.42062  0.975666                                             
27       806.18              0        0.15203      0.0045447              0              0    3               bi214  0.992121  0.975666                                             
28       839.07              0      0.0530174     0.00307722              0              0    3               pb214   1.03591  0.975666                                             
29      860.557              0    0.000453332     0.00249646      0.0034125              0    3               tl208  0.958036  0.975666                                             
30      934.056              0       0.258776      0.0054525              0              0    3               bi214  0.573769  0.975666                                             
31       964.08              0      0.0284531     0.00272088              0              0    3               bi214  0.715573  0.975666                                             
32      1051.96              0      0.0230786      0.0025476              0              0    3               bi214   0.75231  0.975666                                             
33      1069.96              0      0.0257531     0.00271421              0              0    3               bi214   0.85034  0.975666                                             
34      1120.29              0        1.12392      0.0106426     0.00316304              0    3               bi214   1.48692  0.975666                                             
35      1133.66              0      0.0190635     0.00241472              0              0    3               bi214  0.991746  0.975666                                             
36      1155.21              0       0.121501     0.00413823              0              0    3               bi214  0.969181  0.975666                                             
37      1173.23              0     0.00411867      0.0018807              0              0    3                co60  0.968636  0.975666                                             
38      1207.68              0      0.0341535     0.00260425              0              0    3               bi214   1.19701  0.975666                                             
39      1238.12              0       0.428142     0.00642401              0              0    3               bi214   0.71421  0.975666                                             
40      1280.98              0       0.104676     0.00361791              0              0    3               bi214    1.2018  0.975666                                             
41      1332.49              0    -0.00147368     0.00167664              0              0    3                co60   1.10965  0.975666                                             
42      1377.67              0       0.287924     0.00563436              0              0    3               bi214   0.86371  0.975666                                             
43      1385.31              0      0.0560269     0.00277086              0              0    3               bi214   0.86371  0.975666                                             
44      1401.52              0      0.0906471     0.00341918              0              0    3               bi214   0.91184  0.975666                                             
45      1407.99              0       0.160555     0.00422106              0              0    3               bi214   0.91184  0.975666                                             
46      1460.82              0     -0.0012631     0.00167668     0.00241982              0    3                 k40   1.05977  0.975666                                             
47      1509.21              0       0.129889     0.00401919              0              0    3               bi214  0.984034  0.975666                                             
48      1538.53              0      0.0293575      0.0025501              0              0    3               bi214  0.876531  0.975666                                             
49      1543.34              0      0.0245097     0.00224706              0              0    3               bi214  0.876531  0.975666                                             
50       1583.2              0      0.0431159     0.00257467              0              0    3               bi214  0.868627  0.975666                                             
