am241  am241  59.5409 1.632904e-03 7.274947e-05 7.274947e-05 1000000 1.000000e+04 3.590000e-01 4.000000e-03 5.862125e-02 2.528713e-03
pb210  pb210  46.5390 6.523290e-04 2.127844e-04 2.127844e-04 1000000 1.000000e+04 4.250000e-02 4.000000e-04 2.772398e-03 9.039570e-04
ra226  ra226  186.2110 6.430583e-03 8.293994e-04 8.293994e-04 1000000 1.000000e+04 3.640000e-02 4.000000e-04 2.340732e-02 3.008036e-03
ra226  pb214  241.9950 6.841592e-03 4.340865e-04 4.340865e-04 1000000 1.000000e+04 7.251000e-02 1.600000e-04 4.960838e-02 3.145657e-03
ra226  pb214  295.2228 5.847411e-03 2.107723e-04 2.107723e-04 1000000 1.000000e+04 1.842000e-01 4.000000e-04 1.077093e-01 3.875375e-03
ra226  pb214  351.9321 5.672368e-03 1.385263e-04 1.385263e-04 1000000 1.000000e+04 3.560000e-01 7.000000e-04 2.019363e-01 4.915526e-03
ra226  pb214  480.4320 9.335793e-03 2.785813e-03 2.785813e-03 1000000 1.000000e+04 3.370000e-03 4.000000e-05 3.146162e-03 9.380759e-04
ra226  pb214  487.1400 7.696639e-03 2.163387e-03 2.163387e-03 1000000 1.000000e+04 4.320000e-03 5.000000e-05 3.324948e-03 9.337907e-04
ra226  bi214  609.3200 4.168007e-03 1.008793e-04 1.008793e-04 1000000 1.000000e+04 4.549000e-01 1.600000e-03 1.896026e-01 4.540284e-03
ra226  bi214  665.4470 3.439198e-03 6.316931e-04 6.316931e-04 1000000 1.000000e+04 1.531000e-02 6.000000e-05 5.265413e-03 9.669019e-04
ra226  bi214  768.3600 3.733073e-03 3.089350e-04 3.089350e-04 1000000 1.000000e+04 4.894000e-02 1.100000e-04 1.826966e-02 1.511370e-03
ra226  bi214  806.1800 5.155572e-03 7.968826e-04 7.968826e-04 1000000 1.000000e+04 1.264000e-02 5.000000e-05 6.516642e-03 1.006930e-03
ra226  bi214  934.0560 2.781633e-03 3.717103e-04 3.717103e-04 1000000 1.000000e+04 3.107000e-02 1.000000e-04 8.642533e-03 1.154569e-03
ra226  bi214  1120.2940 2.746992e-03 1.474875e-04 1.474875e-04 1000000 1.000000e+04 1.492000e-01 3.000000e-04 4.098512e-02 2.198970e-03
ra226  bi214  1155.2100 1.921109e-03 5.106062e-04 5.106062e-04 1000000 1.000000e+04 1.633000e-02 6.000000e-05 3.137170e-03 8.337402e-04
ra226  bi214  1238.1220 2.463989e-03 2.458462e-04 2.458462e-04 1000000 1.000000e+04 5.834000e-02 1.500000e-04 1.437491e-02 1.433790e-03
ra226  bi214  1280.9760 2.961321e-03 5.690794e-04 5.690794e-04 1000000 1.000000e+04 1.434000e-02 6.000000e-05 4.246535e-03 8.158665e-04
ra226  bi214  1377.6690 2.925872e-03 3.102650e-04 3.102650e-04 1000000 1.000000e+04 3.988000e-02 1.100000e-04 1.166838e-02 1.236918e-03
ra226  bi214  1385.3100 2.681846e-03 8.318224e-04 8.318224e-04 1000000 1.000000e+04 7.930000e-03 5.000000e-05 2.126704e-03 6.594988e-04
ra226  bi214  1401.5150 2.011144e-03 5.511497e-04 5.511497e-04 1000000 1.000000e+04 1.330000e-02 5.000000e-05 2.674821e-03 7.329602e-04
ra226  bi214  1407.9880 3.073615e-03 4.368495e-04 4.368495e-04 1000000 1.000000e+04 2.394000e-02 7.000000e-05 7.358234e-03 1.045596e-03
ra226  bi214  1509.2100 1.633571e-03 4.057234e-04 4.057234e-04 1000000 1.000000e+04 2.130000e-02 1.000000e-04 3.479506e-03 8.640364e-04
ra226  bi214  1583.2040 3.233026e-03 9.215207e-04 9.215207e-04 1000000 1.000000e+04 7.050000e-03 5.000000e-05 2.279283e-03 6.494709e-04
ra226  bi214  1661.2740 2.331681e-03 6.205006e-04 6.205006e-04 1000000 1.000000e+04 1.047000e-02 6.000000e-05 2.441270e-03 6.495135e-04
ra226  bi214  1684.0120 4.603130e-03 1.480551e-03 1.480551e-03 1000000 1.000000e+04 2.140000e-03 5.000000e-05 9.850697e-04 3.160008e-04
ra226  bi214  1729.5950 1.647722e-03 2.759413e-04 2.759413e-04 1000000 1.000000e+04 2.878000e-02 8.000000e-05 4.742144e-03 7.940497e-04
ra226  bi214  1764.4910 2.011438e-03 1.304086e-04 1.304086e-04 1000000 1.000000e+04 1.530000e-01 3.000000e-04 3.077499e-02 1.994339e-03
ra226  bi214  1847.4290 1.486305e-03 3.424126e-04 3.424126e-04 1000000 1.000000e+04 2.025000e-02 9.000000e-05 3.009767e-03 6.932566e-04
ra226  bi214  2118.5140 2.133651e-03 5.129731e-04 5.129731e-04 1000000 1.000000e+04 1.160000e-02 6.000000e-05 2.475035e-03 5.949111e-04
ra226  bi214  2204.0590 2.183206e-03 2.370404e-04 2.370404e-04 1000000 1.000000e+04 4.924000e-02 1.800000e-04 1.075010e-02 1.166525e-03
ra226  bi214  2447.7000 1.583252e-03 3.553753e-04 3.553753e-04 1000000 1.000000e+04 1.548000e-02 7.000000e-05 2.450874e-03 5.500093e-04
