am241  am241  59.5409 2.284492e-01 5.784667e-03 5.686328e-03 4.625281e-03 4.569576e-03 1.504986e-02 1.495187e-02
ra226  ra226  186.2110 7.802494e-01 3.107469e-02 3.053748e-02 2.870698e-02 2.825150e-02 1.499481e-02 1.498007e-02
ra226  pb214  241.9950 7.928887e-01 2.089683e-02 2.051256e-02 1.703777e-02 1.693497e-02 1.499481e-02 1.498007e-02
ra226  pb214  258.8600 7.762015e-01 1.867418e-01 1.763525e-01 1.863923e-01 1.762225e-01 1.499481e-02 1.498007e-02
ra226  pb214  274.8000 1.241913e+00 2.396919e-01 2.181762e-01 2.390955e-01 2.175665e-01 1.499481e-02 1.498007e-02
ra226  pb214  295.2228 8.196077e-01 1.571568e-02 1.543788e-02 9.614268e-03 9.572032e-03 1.499481e-02 1.498007e-02
ra226  pb214  351.9321 8.198734e-01 1.411918e-02 1.387595e-02 6.774093e-03 6.756502e-03 1.499481e-02 1.498007e-02
ra226  pb214  462.0200 1.072276e+00 3.210949e-01 2.863964e-01 3.208199e-01 2.865518e-01 1.499481e-02 1.498007e-02
ra226  pb214  480.4320 8.047956e-01 1.646735e-01 1.564530e-01 1.641518e-01 1.555483e-01 1.499481e-02 1.498007e-02
ra226  pb214  487.1400 8.398436e-01 1.074507e-01 1.033669e-01 1.064617e-01 1.026534e-01 1.499481e-02 1.498007e-02
ra226  pb214  580.1400 8.602836e-01 1.478137e-01 1.403466e-01 1.474849e-01 1.401004e-01 1.499481e-02 1.498007e-02
ra226  pb214  839.0700 8.176072e-01 1.085182e-01 1.042165e-01 1.078502e-01 1.036881e-01 1.499481e-02 1.498007e-02
ra226  bi214  386.7800 5.877102e-01 2.042255e-01 1.902092e-01 2.044684e-01 1.908201e-01 1.499481e-02 1.498007e-02
ra226  bi214  454.7900 8.200829e-01 2.183357e-01 2.053434e-01 2.176403e-01 2.047349e-01 1.499481e-02 1.498007e-02
ra226  bi214  609.3200 8.215398e-01 1.435363e-02 1.408454e-02 7.191506e-03 7.138509e-03 1.499481e-02 1.498007e-02
ra226  bi214  665.4470 8.066897e-01 4.738387e-02 4.644215e-02 4.584537e-02 4.491195e-02 1.499481e-02 1.498007e-02
ra226  bi214  703.1100 1.099511e+00 1.635257e-01 1.535651e-01 1.629449e-01 1.525077e-01 1.499481e-02 1.498007e-02
ra226  bi214  719.8700 6.723326e-01 1.190092e-01 1.146398e-01 1.191330e-01 1.141479e-01 1.499481e-02 1.498007e-02
ra226  bi214  768.3600 8.208292e-01 2.625417e-02 2.583010e-02 2.311117e-02 2.284202e-02 1.499481e-02 1.498007e-02
ra226  bi214  934.0560 8.122607e-01 3.288807e-02 3.219035e-02 3.038983e-02 2.986181e-02 1.499481e-02 1.498007e-02
ra226  bi214  964.0800 8.597248e-01 1.543012e-01 1.457654e-01 1.535579e-01 1.452677e-01 1.499481e-02 1.498007e-02
ra226  bi214  1051.9600 9.014089e-01 1.643609e-01 1.544208e-01 1.639381e-01 1.542035e-01 1.499481e-02 1.498007e-02
ra226  bi214  1069.9600 6.188847e-01 1.477394e-01 1.392544e-01 1.467449e-01 1.397656e-01 1.499481e-02 1.498007e-02
ra226  bi214  1120.2940 8.439968e-01 1.893511e-02 1.863835e-02 1.396684e-02 1.381709e-02 1.499481e-02 1.498007e-02
ra226  bi214  1133.6600 7.497024e-01 1.593027e-01 1.500423e-01 1.579403e-01 1.492076e-01 1.499481e-02 1.498007e-02
ra226  bi214  1155.2100 7.235459e-01 4.474097e-02 4.383146e-02 4.342076e-02 4.261096e-02 1.499481e-02 1.498007e-02
ra226  bi214  1207.6800 7.982474e-01 1.315065e-01 1.256252e-01 1.309771e-01 1.253538e-01 1.499481e-02 1.498007e-02
ra226  bi214  1238.1220 8.300769e-01 2.623786e-02 2.577248e-02 2.287942e-02 2.279216e-02 1.499481e-02 1.498007e-02
ra226  bi214  1280.9760 7.643653e-01 5.624169e-02 5.491549e-02 5.508440e-02 5.376860e-02 1.499481e-02 1.498007e-02
ra226  bi214  1377.6690 8.629788e-01 3.402791e-02 3.331739e-02 3.126374e-02 3.092178e-02 1.499481e-02 1.498007e-02
ra226  bi214  1385.3100 9.060093e-01 1.011919e-01 9.774392e-02 1.003248e-01 9.727011e-02 1.499481e-02 1.498007e-02
ra226  bi214  1401.5150 8.595021e-01 6.133535e-02 5.962331e-02 5.983125e-02 5.857179e-02 1.499481e-02 1.498007e-02
ra226  bi214  1407.9880 7.965241e-01 4.239417e-02 4.143661e-02 4.066375e-02 3.990078e-02 1.499481e-02 1.498007e-02
ra226  bi214  1509.2100 8.843269e-01 5.305171e-02 5.187234e-02 5.141484e-02 5.026669e-02 1.499481e-02 1.498007e-02
ra226  bi214  1538.5300 8.140247e-01 1.551173e-01 1.461448e-01 1.547078e-01 1.458340e-01 1.499481e-02 1.498007e-02
