am241  am241  59.5409 2.023656e-03 2.898642e-05 2.898642e-05 25000000 1.000000e+04 3.590000e-01 4.000000e-03 1.816231e+00 1.634865e-02
ra226  ra226  186.2110 7.761860e-03 1.639474e-04 1.639474e-04 25000000 1.000000e+04 3.640000e-02 4.000000e-04 7.063293e-01 1.274113e-02
ra226  pb214  241.9950 7.056636e-03 7.812126e-05 7.812126e-05 25000000 1.000000e+04 7.251000e-02 1.600000e-04 1.279192e+00 1.387728e-02
ra226  pb214  258.8600 4.742940e-03 5.262399e-04 5.262399e-04 25000000 1.000000e+04 5.310000e-03 4.000000e-05 6.296253e-02 6.969715e-03
ra226  pb214  274.8000 6.183546e-03 7.739122e-04 7.739122e-04 25000000 1.000000e+04 3.550000e-03 1.000000e-04 5.487897e-02 6.692243e-03
ra226  pb214  295.2228 6.530440e-03 4.462876e-05 4.462876e-05 25000000 1.000000e+04 1.842000e-01 4.000000e-04 3.007268e+00 1.948639e-02
ra226  pb214  351.9321 5.920570e-03 2.891176e-05 2.891176e-05 25000000 1.000000e+04 3.560000e-01 7.000000e-04 5.269307e+00 2.355330e-02
ra226  pb214  462.0200 4.388517e-03 7.445170e-04 7.445170e-04 25000000 1.000000e+04 2.120000e-03 5.000000e-05 2.325914e-02 3.907623e-03
ra226  pb214  480.4320 4.861823e-03 4.754980e-04 4.754980e-04 25000000 1.000000e+04 3.370000e-03 4.000000e-05 4.096086e-02 3.976459e-03
ra226  pb214  487.1400 6.096615e-03 3.996715e-04 3.996715e-04 25000000 1.000000e+04 4.320000e-03 5.000000e-05 6.584344e-02 4.248647e-03
ra226  pb214  580.1400 4.642234e-03 4.038470e-04 4.038470e-04 25000000 1.000000e+04 3.700000e-03 4.000000e-05 4.294067e-02 3.706628e-03
ra226  pb214  785.9600 5.381438e-03 3.879058e-04 3.879058e-04 25000000 1.000000e+04 1.060000e-02 3.000000e-04 1.426081e-01 9.454009e-03
ra226  pb214  839.0700 3.854779e-03 2.641481e-04 2.641481e-04 25000000 1.000000e+04 5.830000e-03 8.000000e-05 5.618340e-02 3.771976e-03
ra226  bi214  386.7800 5.107926e-03 7.394584e-04 7.394584e-04 25000000 1.000000e+04 2.950000e-03 5.000000e-05 3.767095e-02 5.416000e-03
ra226  bi214  388.8900 5.814976e-03 5.609978e-04 5.609978e-04 25000000 1.000000e+04 4.020000e-03 1.000000e-04 5.844051e-02 5.447383e-03
ra226  bi214  454.7900 4.718190e-03 5.651701e-04 5.651701e-04 25000000 1.000000e+04 2.920000e-03 4.000000e-05 3.444279e-02 4.098674e-03
ra226  bi214  609.3200 4.331371e-03 2.470273e-05 2.470273e-05 25000000 1.000000e+04 4.549000e-01 1.600000e-03 4.925852e+00 2.211457e-02
ra226  bi214  665.4470 3.977238e-03 1.183260e-04 1.183260e-04 25000000 1.000000e+04 1.531000e-02 6.000000e-05 1.522288e-01 4.489462e-03
ra226  bi214  703.1100 3.327861e-03 3.067445e-04 3.067445e-04 25000000 1.000000e+04 4.720000e-03 9.000000e-05 3.926876e-02 3.541291e-03
ra226  bi214  719.8700 4.019907e-03 3.173628e-04 3.173628e-04 25000000 1.000000e+04 3.920000e-03 8.000000e-05 3.939509e-02 3.004444e-03
ra226  bi214  768.3600 3.868453e-03 5.942308e-05 5.942308e-05 25000000 1.000000e+04 4.894000e-02 1.100000e-04 4.733052e-01 7.192162e-03
ra226  bi214  806.1800 5.193971e-03 1.486542e-04 1.486542e-04 25000000 1.000000e+04 1.264000e-02 5.000000e-05 1.641295e-01 4.652388e-03
ra226  bi214  934.0560 3.467286e-03 7.219807e-05 7.219807e-05 25000000 1.000000e+04 3.107000e-02 1.000000e-04 2.693215e-01 5.540588e-03
ra226  bi214  964.0800 3.562648e-03 3.370892e-04 3.370892e-04 25000000 1.000000e+04 3.650000e-03 1.000000e-04 3.250917e-02 2.944167e-03
ra226  bi214  1051.9600 3.206424e-03 3.211122e-04 3.211122e-04 25000000 1.000000e+04 3.130000e-03 7.000000e-05 2.509026e-02 2.449248e-03
ra226  bi214  1069.9600 3.604234e-03 3.870716e-04 3.870716e-04 25000000 1.000000e+04 2.720000e-03 9.000000e-05 2.450879e-02 2.504044e-03
ra226  bi214  1120.2940 3.108415e-03 2.945710e-05 2.945710e-05 25000000 1.000000e+04 1.492000e-01 3.000000e-04 1.159439e+00 1.073732e-02
ra226  bi214  1133.6600 3.617354e-03 3.796539e-04 3.796539e-04 25000000 1.000000e+04 2.512000e-03 1.000000e-05 2.271698e-02 2.382511e-03
ra226  bi214  1155.2100 3.338754e-03 1.028136e-04 1.028136e-04 25000000 1.000000e+04 1.633000e-02 6.000000e-05 1.363046e-01 4.167381e-03
ra226  bi214  1207.6800 2.721185e-03 2.181191e-04 2.181191e-04 25000000 1.000000e+04 4.510000e-03 1.000000e-04 3.068136e-02 2.363328e-03
ra226  bi214  1238.1220 2.979353e-03 4.653042e-05 4.653042e-05 25000000 1.000000e+04 5.834000e-02 1.500000e-04 4.345386e-01 6.693863e-03
ra226  bi214  1280.9760 2.915903e-03 1.029794e-04 1.029794e-04 25000000 1.000000e+04 1.434000e-02 6.000000e-05 1.045351e-01 3.665811e-03
ra226  bi214  1377.6690 2.812295e-03 5.693879e-05 5.693879e-05 25000000 1.000000e+04 3.988000e-02 1.100000e-04 2.803858e-01 5.623870e-03
ra226  bi214  1385.3100 2.566261e-03 1.437506e-04 1.437506e-04 25000000 1.000000e+04 7.930000e-03 5.000000e-05 5.087613e-02 2.831744e-03
ra226  bi214  1401.5150 2.802948e-03 1.062200e-04 1.062200e-04 25000000 1.000000e+04 1.330000e-02 5.000000e-05 9.319801e-02 3.514393e-03
ra226  bi214  1407.9880 2.741286e-03 7.741252e-05 7.741252e-05 25000000 1.000000e+04 2.394000e-02 7.000000e-05 1.640660e-01 4.608237e-03
ra226  bi214  1509.2100 2.611047e-03 8.652655e-05 8.652655e-05 25000000 1.000000e+04 2.130000e-02 1.000000e-04 1.390383e-01 4.561065e-03
ra226  bi214  1538.5300 3.029880e-03 3.097339e-04 3.097339e-04 25000000 1.000000e+04 3.980000e-03 1.100000e-04 3.014731e-02 2.967080e-03
ra226  bi214  1543.3400 2.696675e-03 3.446596e-04 3.446596e-04 25000000 1.000000e+04 3.030000e-03 1.000000e-04 2.042732e-02 2.522252e-03
ra226  bi214  1583.2040 2.475322e-03 1.506199e-04 1.506199e-04 25000000 1.000000e+04 7.050000e-03 5.000000e-05 4.362756e-02 2.636583e-03
ra226  bi214  1594.7500 2.151225e-03 3.381281e-04 3.381281e-04 25000000 1.000000e+04 2.670000e-03 1.200000e-04 1.435943e-02 2.162770e-03
ra226  bi214  1599.3700 9.799807e-04 2.182366e-04 2.182366e-04 25000000 1.000000e+04 3.240000e-03 1.200000e-04 7.937844e-03 1.743098e-03
ra226  bi214  1661.2740 2.166879e-03 1.007578e-04 1.007578e-04 25000000 1.000000e+04 1.047000e-02 6.000000e-05 5.671806e-02 2.617231e-03
ra226  bi214  1684.0120 2.504761e-03 2.859264e-04 2.859264e-04 25000000 1.000000e+04 2.140000e-03 5.000000e-05 1.340047e-02 1.497322e-03
ra226  bi214  1729.5950 2.544187e-03 5.884802e-05 5.884802e-05 25000000 1.000000e+04 2.878000e-02 8.000000e-05 1.830542e-01 4.203429e-03
ra226  bi214  1764.4910 2.459772e-03 2.570816e-05 2.570816e-05 25000000 1.000000e+04 1.530000e-01 3.000000e-04 9.408628e-01 9.658768e-03
ra226  bi214  1838.3600 2.173287e-03 2.329364e-04 2.329364e-04 25000000 1.000000e+04 3.500000e-03 1.000000e-04 1.901626e-02 1.964442e-03
ra226  bi214  1847.4290 2.333850e-03 7.705129e-05 7.705129e-05 25000000 1.000000e+04 2.025000e-02 9.000000e-05 1.181511e-01 3.865214e-03
ra226  bi214  1873.1600 2.499005e-03 2.815722e-04 2.815722e-04 25000000 1.000000e+04 2.140000e-03 8.000000e-05 1.336968e-02 1.421082e-03
ra226  bi214  2118.5140 2.276099e-03 9.325977e-05 9.325977e-05 25000000 1.000000e+04 1.160000e-02 6.000000e-05 6.600686e-02 2.682897e-03
ra226  bi214  2204.0590 2.066474e-03 4.187665e-05 4.187665e-05 25000000 1.000000e+04 4.924000e-02 1.800000e-04 2.543829e-01 5.070448e-03
ra226  bi214  2293.3800 1.947031e-03 1.648563e-04 1.648563e-04 25000000 1.000000e+04 3.070000e-03 3.000000e-05 1.494347e-02 1.256817e-03
ra226  bi214  2447.7000 1.909177e-03 6.890413e-05 6.890413e-05 25000000 1.000000e+04 1.548000e-02 7.000000e-05 7.388516e-02 2.645576e-03
ra226  pb210  46.5390 4.808402e-04 6.743198e-05 6.743198e-05 25000000 1.000000e+04 4.250000e-02 4.000000e-04 5.108927e-02 7.148494e-03
